cc_no,pos_dt,cc_txn_amt
17889,6,5000
17890,1,2000
17890,2,1400
17890,3,2700
17890,4,3100
17890,5,2600
17890,6,2400
17892,6,5000
17893,1,1500
17893,3,3400
17893,4,28100
17893,5,2800
17893,6,1500
17894,5,3500
17894,6,3500
17895,1,500
17895,2,2900
17895,3,23300
17895,4,2100
17895,5,10900
17895,6,10900
17899,6,1900
17902,6,7000
17903,1,5600
17903,2,6900
17903,4,5400
17905,1,6200
17905,2,8000
17905,3,1900
17905,6,2000
17907,6,11000
17909,4,1000
17909,5,4000
17909,6,1700
17912,4,4000
17912,6,1800
17914,2,1800
17914,4,1800
17914,5,500
17915,1,36500
17915,2,10800
17915,3,16800
17915,4,1200
17915,5,2700
17915,6,1700
17917,2,3000
17917,3,3000
17917,6,2000
17918,6,6800
17920,2,3000
17920,3,5000
17921,5,2100
17921,6,1300
17923,1,9700
17923,2,4600
17923,3,7700
17923,4,7400
17923,5,5700
17923,6,56500
17924,3,26900
17924,5,21600
17924,6,192000
17925,1,14300
17925,2,4000
17925,3,22900
17925,4,6000
17925,5,37800
17927,4,8600
17927,5,2900
17927,6,1600
17929,1,11200
17929,2,1300
17929,3,18500
17929,4,500
17929,5,8200
17929,6,2400
17931,1,7500
17931,2,2500
17931,3,5700
17931,4,15700
17931,5,17300
17931,6,27600
17932,1,8600
17932,2,1100
17932,3,2200
17933,5,3000
17934,3,9900
17934,4,14500
17937,2,2300
17937,3,2300
17937,4,2300
17937,5,2300
17937,6,2300
17938,1,2300
17938,2,17100
17938,3,10500
17938,5,1300
17941,1,6400
17941,3,7000
17941,4,3500
17941,5,3500
17941,6,3300
17943,1,21500
17943,2,129700
17943,3,71000
17943,4,206200
17943,5,48000
17943,6,44500
17944,1,10200
17944,2,4000
17944,5,5100
17944,6,1300
17945,1,4000
17945,2,9000
17945,3,10000
17945,4,6000
17945,5,9000
17946,1,3800
17946,2,1000
17946,3,2000
17946,6,19000
17948,1,15500
17948,2,16400
17948,3,16300
17948,4,40000
17948,5,2800
17948,6,10300
17950,1,1000
17950,5,1000
17950,6,2400
17951,1,600
17951,2,600
17951,4,600
17951,5,700
17951,6,1300
17952,1,67500
17952,2,37000
17952,3,5600
17952,4,6300
17952,5,39600
17952,6,7100
17954,1,7100
17954,2,700
17954,3,1700
17954,4,4000
17954,5,1500
17954,6,22000
17955,1,77300
17955,2,4300
17955,3,55400
17955,4,3500
17955,5,7700
17955,6,2500
17956,1,3900
17956,5,5000
17956,6,13000
17957,1,3000
17957,6,3000
17958,1,6900
17958,2,11200
17958,3,17200
17958,4,1700
17958,5,3200
17958,6,20900
17959,4,4000
17959,5,58500
17960,2,500
17960,3,800
17960,5,600
17962,1,129700
17962,2,13300
17962,3,35200
17962,4,27600
17962,5,12500
17962,6,15100
17963,1,1800
17963,2,3200
17963,3,500
17963,4,24900
17963,5,2300
17963,6,1800
17964,1,4600
17964,3,2600
17964,4,2800
17964,5,13000
17964,6,2000
17965,1,1800
17965,2,1800
17965,3,4400
17965,4,2000
17965,5,4800
17965,6,6600
17966,1,1000
17966,2,2700
17966,3,3000
17966,4,2500
17966,5,2900
17966,6,2900
17967,3,2500
17967,4,11200
17967,5,9000
17967,6,1100
17969,1,11900
17969,2,14900
17971,1,900
17972,6,11000
17974,1,2200
17974,2,2200
17974,3,2500
17974,4,4300
17974,5,3200
17974,6,2600
17976,6,4000
17977,1,10000
17977,2,15700
17977,3,18300
17977,4,7700
17977,5,10600
17977,6,6900
17978,1,29500
17979,2,14100
17979,3,3200
17981,5,5300
17981,6,21500
17983,1,600
17983,2,1000
17983,3,900
17983,4,2600
17983,5,2700
17983,6,400
17985,1,4500
17985,2,4500
17985,3,4500
17985,4,4500
17985,6,21500
17987,1,2900
17987,2,2000
17987,3,62400
17987,4,39400
17987,5,3600
17987,6,14300
17988,2,12000
17988,3,500
17988,4,11200
17988,5,7600
17989,5,4000
17989,6,2000
17990,1,1800
17990,2,1800
17990,3,1900
17990,4,1700
17990,5,1800
17990,6,4000
17991,1,13700
17991,2,8100
17991,3,31100
17991,4,32900
17991,5,35600
17991,6,3300
17992,1,4400
17992,2,9500
17992,3,3400
17992,4,16400
17992,5,3600
17992,6,2800
17993,2,1500
17993,3,900
17993,4,1000
17995,4,3000
17996,1,1000
17996,4,2000
17996,5,1200
17996,6,1200
17997,2,1300
17997,3,300
17997,4,1800
17997,5,5600
17997,6,800
17998,3,14500
17998,4,13500
17998,6,5000
18001,1,600
18001,2,1000
18001,3,1800
18001,4,2200
18001,5,1100
18001,6,300
18002,1,3000
18003,1,2200
18003,2,2200
18003,4,2200
18003,5,2200
18003,6,3400
18004,1,8400
18004,2,700
18005,4,4900
18006,1,3300
18006,2,1800
18006,4,2000
18007,1,39100
18007,2,73100
18007,3,14800
18007,4,15600
18007,5,17300
18007,6,126000
18009,2,3400
18009,3,2400
18009,4,2200
18009,5,2300
18010,1,33000
18010,3,1300
18010,4,1300
18010,5,5800
18010,6,5900
18013,3,5000
18013,4,17000
18013,5,4400
18013,6,5700
18014,1,600
18014,3,300
18014,4,16700
18014,5,17100
18014,6,16700
18015,1,1600
18015,2,1600
18015,4,2400
18015,6,3000
18016,2,1000
18016,4,1000
18016,5,9000
18016,6,3500
18020,1,1600
18020,4,2300
18020,5,900
18025,5,5000
18026,1,5900
18026,2,1600
18026,3,1500
18026,4,1400
18026,5,500
18026,6,1500
18029,4,6000
18029,5,3500
18029,6,900
18031,4,16000
18031,5,3000
18033,1,19400
18033,2,12300
18033,3,22400
18033,4,5400
18033,5,6000
18033,6,1600
18035,2,3800
18035,3,3300
18035,5,3900
18036,1,2000
18036,2,10000
18036,3,1200
18036,4,3500
18036,5,7000
18036,6,2800
18037,1,1600
18037,2,3700
18037,3,4200
18037,4,3300
18037,5,900
18037,6,900
18039,1,1700
18039,2,7200
18039,3,9900
18039,4,8200
18039,6,2200
18040,5,300
18040,6,2500
18041,1,9300
18041,2,5900
18041,3,3700
18041,4,4400
18041,5,1400
18041,6,3500
18042,1,9900
18042,2,4000
18042,3,4700
18042,4,25500
18042,5,12500
18042,6,22500
18043,1,17700
18043,2,7700
18043,3,10600
18043,4,11200
18043,5,23900
18043,6,16100
18044,2,3000
18044,3,3000
18044,4,3000
18044,5,3000
18044,6,3000
18045,6,12800
18047,1,1800
18047,3,700
18047,4,9500
18047,5,48600
18048,5,700
18048,6,18400
18049,5,1100
18049,6,1700
18050,1,15000
18050,2,10800
18050,3,12800
18050,4,11100
18050,5,15100
18050,6,13200
18051,1,33100
18051,2,26600
18051,3,19500
18051,4,24300
18051,5,9300
18051,6,27800
18052,1,400
18052,2,400
18052,3,400
18052,4,400
18052,5,400
18053,1,600
18053,3,1600
18053,4,900
18053,5,1000
18053,6,900
18054,1,800
18054,2,100
18054,3,900
18054,4,800
18054,5,1000
18055,2,1000
18055,5,2500
18057,1,3700
18057,2,3000
18057,3,2700
18057,5,1200
18057,6,4300
18058,1,4300
18058,2,5100
18058,3,5400
18058,4,5500
18058,6,3700
18061,1,296400
18061,2,298500
18061,3,356900
18061,4,237600
18061,5,331600
18061,6,308700
18062,1,6600
18062,2,2600
18062,3,10000
18062,4,17000
18062,5,3000
18062,6,5400
18063,2,2000
18063,4,11000
18063,6,2000
18064,1,14400
18064,2,1300
18064,3,700
18064,4,3900
18064,5,2000
18064,6,7900
18065,2,1035900
18065,3,6300
18065,4,21300
18065,5,107900
18065,6,80500
18066,1,32300
18066,2,51700
18066,3,124400
18066,4,73200
18066,5,107000
18066,6,114400
18067,1,17600
18067,2,19000
18067,3,49000
18067,4,31400
18067,5,15800
18067,6,27700
18069,1,369000
18069,2,222400
18069,3,111300
18069,4,383200
18069,5,389600
18069,6,149400
18071,1,4500
18071,2,2900
18071,3,5900
18071,4,5200
18071,5,4700
18071,6,6000
18072,2,2000
18074,1,1500
18074,2,1900
18074,3,5800
18074,4,3800
18074,5,2100
18074,6,2200
18075,6,9000
18077,1,1000
18077,2,1900
18077,3,3400
18077,4,14300
18077,5,1600
18077,6,7700
18078,1,700
18078,2,80800
18078,4,7200
18080,3,6000
18081,2,3000
18081,3,3000
18081,4,3000
18081,5,3000
18083,2,2800
18083,3,1000
18083,4,2900
18083,5,6000
18083,6,16100
18084,2,5000
18084,3,10000
18084,4,7000
18084,6,9000
18086,1,4000
18086,2,8900
18086,3,3700
18086,4,1200
18086,5,1600
18088,6,2000
18090,5,39000
18096,1,4900
18096,2,3000
18096,3,700
18096,4,11100
18096,5,2000
18098,1,7700
18098,2,18600
18098,3,5500
18098,4,17300
18098,5,27400
18098,6,56600
18101,5,8000
18104,1,6200
18104,2,11500
18104,3,49400
18104,4,57600
18104,5,300
18107,3,2500
18109,1,8900
18109,6,3800
18110,1,35800
18110,2,9600
18110,3,37600
18110,4,27500
18110,5,16300
18110,6,10600
18112,4,2000
18113,1,700
18113,2,3600
18113,3,2200
18113,4,700
18113,5,400
18113,6,1300
18114,4,62600
18114,5,44900
18114,6,94400
18115,1,1300
18115,2,3300
18115,6,7000
18116,1,1700
18116,2,800
18116,3,2200
18116,4,2600
18116,5,1000
18116,6,900
18117,3,14700
18117,4,39300
18117,5,19500
18117,6,26500
18118,1,1800
18118,4,1000
18118,5,3700
18118,6,1800
18119,2,2000
18119,3,2100
18119,6,3900
18121,1,3000
18121,3,3000
18121,5,2000
18123,1,1100
18123,4,6000
18123,6,600
18124,1,1300
18124,2,1200
18124,3,600
18124,4,600
18124,5,1900
18124,6,600
18125,1,2100
18127,1,2000
18127,2,1000
18127,3,6900
18127,4,9000
18127,5,3100
18127,6,2000
18128,2,2500
18128,3,2000
18128,5,3500
18128,6,2500
18130,1,1000
18130,3,1700
18132,2,15000
18134,4,2300
18134,5,4900
18134,6,5300
18135,1,3000
18135,2,3000
18135,3,5000
18135,4,3000
18135,5,3000
18135,6,5000
18136,1,27200
18136,2,33600
18136,3,3800
18136,4,8600
18136,5,4400
18136,6,7300
18139,1,6300
18139,2,2600
18139,3,4500
18139,4,4400
18139,5,19700
18141,2,2000
18141,5,2000
18142,1,10300
18142,2,2700
18142,3,12400
18142,4,25200
18142,5,22800
18144,1,1200
18144,4,1700
18144,5,500
18145,4,7500
18145,6,10000
18146,1,14800
18146,2,8100
18146,3,10700
18146,4,99300
18146,5,24100
18146,6,16000
18151,1,1700
18151,3,5000
18151,4,3800
18151,5,6500
18151,6,6500
18153,6,6000
18155,1,2700
18155,2,5300
18155,3,4700
18155,5,1900
18156,1,1000
18156,2,2100
18156,4,1500
18156,5,1000
18159,1,300
18159,2,100
18159,3,100
18159,5,5000
18159,6,5700
18160,3,2000
18160,6,3400
18161,6,18000
18162,2,1300
18163,1,6100
18163,2,800
18163,3,6000
18163,4,5600
18163,6,2100
18164,2,5700
18167,1,1400
18167,3,5400
18167,6,16100
18169,2,20000
18169,3,10000
18169,4,14500
18169,5,1600
18169,6,1600
18173,1,6900
18173,2,3000
18173,3,4900
18173,4,11700
18173,5,3200
18173,6,4900
18175,1,22500
18175,2,10000
18175,3,22000
18175,4,8000
18175,5,17000
18175,6,9000
18178,1,4900
18178,2,1700
18178,3,1700
18178,4,8600
18178,5,1900
18180,1,1400
18180,2,1300
18180,3,1300
18180,4,1400
18180,6,1300
18181,1,16000
18181,3,2800
18181,4,1100
18181,5,10000
18182,2,5100
18182,3,12600
18182,4,24700
18182,5,15900
18182,6,5000
18183,1,7500
18185,3,10000
18186,1,4200
18186,2,1800
18186,3,1700
18186,4,1800
18186,5,2000
18186,6,2800
18189,6,9000
18190,1,10000
18190,2,10400
18190,3,9400
18190,4,2300
18190,5,16400
18190,6,12000
18191,1,8600
18191,3,21100
18191,6,30000
18194,4,15000
18197,6,8000
18198,6,30000
18199,5,30000
18200,3,3300
18200,4,5000
18200,6,12900
18203,5,3000
18204,1,66600
18204,2,94800
18204,3,46300
18204,4,2700
18204,5,5400
18204,6,5400
18206,1,700
18206,3,1200
18206,4,900
18206,5,1700
18206,6,3500
18207,3,1300
18208,1,5700
18208,2,7100
18208,3,14400
18208,4,4800
18208,5,7100
18208,6,500
18209,2,16000
18209,3,14000
18209,5,4000
18209,6,1000
18210,1,500
18210,2,1100
18210,3,800
18210,4,1000
18210,5,1100
18210,6,700
18211,1,4300
18211,2,1900
18211,3,1100
18211,4,1100
18211,5,1200
18212,5,7000
18213,1,26000
18213,2,5900
18213,3,300
18213,4,300
18213,5,55300
18213,6,300
18216,4,1000
18221,5,18900
18222,2,2000
18222,3,13400
18222,4,5500
18222,5,11300
18222,6,15200
18225,1,5800
18225,2,13400
18225,3,6000
18225,4,10800
18225,5,6800
18225,6,5800
18226,1,7200
18226,2,2000
18226,3,12400
18226,4,7200
18226,5,6200
18226,6,21400
18227,5,30000
18228,3,8500
18228,4,4600
18228,5,10000
18229,2,5300
18229,6,3300
18230,1,7900
18230,2,4600
18230,3,16800
18230,4,3000
18230,5,700
18230,6,1900
18234,5,6300
18234,6,59200
18236,3,10900
18236,4,8600
18237,3,34600
18237,4,900
18237,5,500
18237,6,1000
18238,1,6500
18238,2,7500
18238,4,1000
18239,1,12000
18239,3,30000
18240,1,200
18240,2,10300
18240,3,24500
18240,4,22700
18240,5,7700
18240,6,23700
18241,4,13600
18241,5,1200
18241,6,3400
18242,1,13800
18242,2,85700
18242,3,3700
18242,4,69400
18242,5,51200
18242,6,124200
18245,1,1600
18245,2,2000
18245,3,2000
18245,4,16900
18245,5,1200
18245,6,2900
18246,2,100
18246,4,3100
18247,5,7000
18248,1,2000
18248,2,3500
18248,3,4000
18248,4,4000
18248,6,4000
18250,5,5000
18251,4,10000
18251,5,5000
18252,1,5200
18252,6,400
18253,1,7100
18253,2,6100
18253,3,8500
18253,4,4300
18253,5,5700
18253,6,600
18258,2,6900
18258,3,2600
18258,4,9600
18258,5,3500
18258,6,2400
18259,6,20000
18260,1,9700
18261,1,800
18261,2,5700
18261,5,300
18261,6,300
18263,2,7200
18263,3,1400
18263,4,2200
18263,5,5400
18263,6,3500
18265,6,7900
18267,3,23000
18267,4,22000
18268,1,43500
18268,2,8000
18268,3,3500
18268,4,4400
18268,5,4500
18268,6,10800
18269,1,1700
18269,2,2200
18269,3,2200
18269,5,1600
18269,6,5400
18271,1,1900
18271,3,11900
18271,4,6000
18271,5,5700
18271,6,23400
18272,1,3000
18273,1,1400
18273,6,3000
18274,1,2500
18274,2,3800
18274,3,10500
18274,4,2000
18274,5,3200
18274,6,2900
18275,1,700
18275,2,700
18275,3,600
18275,5,500
18276,2,28400
18276,3,2000
18276,4,1600
18276,6,400
18277,1,900
18277,4,2300
18277,6,2300
18279,1,3000
18279,3,2000
18279,4,3000
18279,5,3000
18279,6,3000
18281,3,7500
18282,5,4000
18282,6,4000
18283,6,400
18284,5,10900
18285,1,16500
18285,2,39000
18285,3,18500
18285,4,25400
18285,5,18600
18285,6,900
18286,1,42500
18286,2,11000
18286,4,4800
18286,5,4600
18286,6,31700
18289,1,100
18289,2,1800
18289,3,1400
18289,4,24100
18289,5,1900
18289,6,2400
18291,1,45900
18291,2,56000
18291,3,144000
18291,4,237400
18291,5,201100
18291,6,161300
18292,1,32900
18292,3,30000
18292,4,1000
18292,6,15000
18293,1,7000
18293,2,1500
18293,3,300
18293,4,11300
18293,5,8400
18293,6,800
18294,2,25200
18294,3,18200
18294,6,11100
18296,1,6100
18296,2,2300
18296,3,9600
18296,4,6600
18296,5,8800
18296,6,33800
18297,1,1000
18297,2,1000
18297,3,1000
18297,4,1100
18297,6,900
18298,1,4800
18298,2,9200
18298,3,3300
18298,4,10300
18298,5,5300
18298,6,9200
18299,1,12900
18299,2,4100
18299,3,7800
18299,4,6600
18299,6,5000
18302,6,3400
18303,1,26500
18303,2,18200
18303,3,56700
18304,1,6900
18304,2,13200
18304,3,10200
18304,4,3400
18304,5,8300
18304,6,3800
18306,2,17600
18306,6,4400
18307,2,7200
18307,6,3000
18308,6,700
18309,2,1600
18311,1,1500
18311,2,1000
18311,3,4200
18311,4,700
18311,6,1000
18312,1,40500
18312,2,46200
18312,3,13900
18312,4,12500
18312,5,26400
18312,6,29500
18313,5,5900
18313,6,6100
18316,2,20000
18316,4,30000
18316,6,20000
18317,2,2000
18317,3,1500
18317,5,3000
18317,6,1600
18319,1,3400
18319,2,1500
18319,3,4500
18319,4,3700
18319,5,3800
18319,6,3800
18320,1,1400
18320,2,1300
18320,3,600
18322,1,2800
18322,4,1300
18322,5,7000
18323,2,1000
18323,5,4000
18323,6,1900
18325,1,500
18326,1,4500
18326,5,2500
18326,6,800
18329,1,2600
18329,2,2400
18329,3,2400
18329,4,2400
18329,6,2500
18330,1,23600
18330,2,1968800
18330,3,5100
18330,4,167400
18330,5,130100
18330,6,38000
18331,1,5700
18331,2,6000
18331,3,1400
18331,4,5400
18331,5,5900
18331,6,6000
18332,1,38300
18332,2,5500
18332,3,13000
18332,5,15800
18336,1,87700
18336,2,24500
18336,3,32900
18336,4,34200
18336,5,31800
18336,6,107800
18341,1,6000
18341,2,6000
18341,3,3300
18341,4,13300
18341,5,7800
18341,6,3700
18342,1,7000
18342,2,5000
18342,3,5000
18342,5,5000
18342,6,5000
18343,1,11900
18343,2,7300
18343,3,16300
18343,4,6300
18343,5,19600
18343,6,12300
18344,1,900
18344,2,800
18344,6,900
18347,5,6300
18347,6,2900
18350,5,5000
18351,1,7600
18352,1,1000
18352,2,800
18352,4,2200
18352,5,2000
18354,1,900
18354,2,400
18354,3,9400
18354,5,7500
18354,6,9200
18355,1,500
18355,2,500
18355,3,500
18355,4,19600
18355,5,500
18358,1,2000
18358,3,30000
18358,4,15000
18358,5,8000
18358,6,3000
18360,1,3000
18360,2,3000
18360,4,3000
18360,5,3000
18360,6,3000
18361,2,60200
18361,3,4200
18361,5,5400
18361,6,8300
18362,1,20600
18362,2,5200
18362,3,2200
18362,4,4100
18362,5,2100
18362,6,1100
18365,1,4300
18365,3,3400
18365,4,12200
18365,5,5700
18365,6,4300
18368,4,2800
18369,1,14700
18369,2,22100
18369,4,3900
18369,5,2700
18369,6,4200
18370,1,26300
18370,2,19600
18370,3,10100
18370,4,15300
18370,5,21700
18370,6,18900
18371,2,22500
18371,3,6300
18371,4,1200
18371,5,5000
18371,6,1800
18373,3,1800
18373,6,1000
18374,1,2700
18374,3,1000
18374,4,700
18374,5,9100
18374,6,800
18376,6,33000
18378,4,5800
18378,6,1600
18379,2,3000
18379,3,2000
18379,5,2000
18379,6,1000
18381,1,2200
18381,2,4500
18381,3,4900
18381,4,2800
18381,5,3500
18381,6,21300
18382,2,3000
18382,3,1500
18382,4,1500
18382,6,3400
18385,1,2300
18385,2,3200
18385,3,6200
18385,4,700
18385,5,2500
18385,6,4500
18386,1,5300
18386,2,11700
18386,3,24400
18386,4,16800
18386,5,39000
18386,6,10200
18387,1,2000
18387,2,2000
18387,3,2000
18387,5,2000
18387,6,2000
18389,2,35000
18389,4,13000
18391,1,2000
18391,2,2000
18391,3,2000
18391,5,2000
18392,6,9500
18393,2,10000
18393,3,2000
18394,1,16500
18394,2,9500
18394,3,10500
18394,4,2100
18394,5,5400
18394,6,7600
18395,2,500
18395,4,10000
18395,5,700
18395,6,700
18396,1,22200
18396,6,72900
18397,1,30300
18397,2,29100
18397,3,16600
18397,4,6900
18397,5,10700
18397,6,12600
18398,1,4600
18398,2,200
18398,3,9700
18398,4,7300
18398,5,5600
18398,6,3400
18400,5,3000
18400,6,12300
18401,1,3000
18401,2,2200
18401,3,1700
18401,4,1800
18402,1,10900
18402,2,1100
18402,4,16600
18402,6,700
18403,3,10000
18403,4,5300
18404,1,2700
18404,2,6000
18404,3,34700
18404,4,14700
18406,6,5000
18407,4,11900
18407,5,1000
18409,5,10000
18410,1,600
18410,2,1500
18410,4,700
18410,6,1400
18412,1,7000
18412,2,1500
18412,3,3000
18412,4,1300
18412,5,1200
18413,1,2700
18413,3,900
18413,4,1900
18413,5,3400
18413,6,3100
18414,2,10000
18415,2,2600
18415,3,3100
18415,4,4100
18415,5,5200
18415,6,3800
18416,1,3000
18416,4,4000
18416,5,20000
18417,1,2100
18417,2,2600
18417,3,2200
18417,4,2400
18417,5,2100
18417,6,2400
18418,1,1000
18418,3,1200
18418,4,500
18418,6,3000
18420,1,22300
18420,2,18000
18420,3,40600
18420,4,28200
18420,5,15400
18424,1,4000
18424,3,5000
18424,4,3400
18424,6,4000
18432,5,6000
18432,6,85500
18435,1,9900
18435,2,8700
18435,3,11200
18435,4,8500
18435,5,6000
18435,6,7900
18436,1,2400
18436,2,2700
18436,3,200
18436,4,3400
18436,5,2700
18436,6,3800
18438,1,92600
18438,2,4000
18438,3,6500
18438,4,5500
18438,5,10100
18438,6,9200
18440,1,300
18440,2,400
18440,6,2600
18442,2,51300
18442,4,12800
18443,6,2000
18444,1,2700
18444,6,13300
18445,1,700
18445,2,1900
18445,3,600
18448,5,18200
18448,6,8400
18449,1,6900
18449,2,2200
18450,2,5000
18450,3,3000
18450,4,3000
18450,5,3000
18451,1,7500
18451,2,300
18451,3,60200
18451,4,4500
18451,5,700
18451,6,600
18453,1,300
18453,2,400
18453,3,165500
18455,2,3000
18455,5,1000
18455,6,1000
18456,1,14800
18456,2,21100
18456,3,22300
18456,4,26400
18456,5,5600
18456,6,7700
18457,1,15400
18458,1,6000
18458,2,22000
18458,4,2700
18459,6,7000
18461,4,3300
18461,5,7000
18461,6,21000
18462,6,1500
18463,1,44200
18463,2,79300
18463,3,30700
18463,4,44000
18463,5,23700
18463,6,42500
18466,1,3400
18466,2,4000
18466,3,8300
18466,4,10800
18466,5,6100
18466,6,5000
18468,1,2700
18468,2,1700
18468,3,2100
18468,6,1100
18472,1,16200
18472,2,15300
18472,3,32800
18472,4,23900
18472,5,31100
18472,6,19500
18473,2,3000
18473,4,8000
18474,1,2600
18474,2,2000
18474,4,2500
18474,6,2000
18475,6,3600
18477,1,3500
18477,3,25000
18477,4,800
18479,1,1100
18479,3,2000
18479,5,1900
18479,6,1100
18480,1,8800
18480,2,20100
18480,3,16000
18480,4,5200
18480,5,6900
18480,6,17700
18481,1,1600
18481,2,600
18481,3,3600
18481,4,1900
18481,5,6600
18481,6,2700
18485,1,4800
18485,2,2700
18485,3,1600
18485,4,800
18485,5,1100
18485,6,3100
18486,1,3800
18486,2,800
18486,3,600
18486,4,600
18486,5,12200
18486,6,900
18488,2,6000
18488,5,4000
18491,1,35500
18491,2,19800
18491,3,5100
18491,5,72400
18494,2,1900
18494,3,14600
18494,4,11700
18494,5,1700
18494,6,3000
18495,1,61300
18495,2,67400
18495,3,68900
18495,4,18000
18495,5,12000
18495,6,4000
18496,1,23400
18496,5,22000
18497,1,86800
18497,2,98700
18497,3,134300
18497,4,93300
18497,5,112400
18497,6,120600
18498,1,45300
18498,3,62800
18499,3,3000
18499,4,2100
18499,5,2200
18500,1,600
18500,2,1700
18500,3,4900
18500,4,2200
18500,5,10900
18500,6,1700
18501,1,10000
18501,2,30000
18501,4,30000
18501,5,30000
18501,6,20000
18502,1,15200
18502,2,1700
18502,3,3800
18502,4,8300
18502,5,5700
18502,6,10600
18503,5,5000
18504,1,400
18504,2,4500
18504,3,500
18504,4,2100
18504,5,1200
18504,6,11700
18506,1,7100
18506,2,1000
18506,3,11300
18506,4,13500
18506,5,13200
18506,6,22400
18509,1,900
18509,2,200
18509,3,900
18509,4,900
18509,5,200
18509,6,200
18510,1,16000
18510,2,19000
18510,3,35300
18510,4,25000
18510,5,16900
18510,6,9000
18511,1,1400
18511,2,2100
18511,3,1500
18511,4,100
18511,5,1100
18511,6,1800
18516,2,50000
18516,3,900
18517,6,10000
18518,2,1100
18518,3,700
18518,5,1200
18519,4,9000
18519,5,3000
18522,1,800
18522,2,2500
18522,3,2200
18522,4,1700
18522,5,2300
18522,6,9000
18523,1,7800
18525,5,2000
18525,6,2000
18526,5,6900
18526,6,700
18527,1,9100
18527,2,3000
18527,3,3400
18527,4,700
18527,5,16900
18527,6,2300
18528,6,17000
18529,1,5700
18529,2,5100
18529,3,5100
18529,4,4100
18529,5,8900
18529,6,3200
18530,1,6200
18530,2,9700
18530,3,34400
18530,4,38000
18530,5,28500
18530,6,6600
18533,1,35000
18533,2,24900
18533,3,36500
18533,4,9300
18533,5,27400
18533,6,11100
18534,3,700
18534,4,2900
18534,5,1700
18534,6,17000
18537,1,2700
18539,1,2000
18539,2,3500
18539,3,1000
18539,4,4100
18539,5,3800
18539,6,2900
18540,1,63300
18540,2,1800
18540,3,91600
18540,4,43500
18540,5,68400
18540,6,6000
18542,1,5900
18542,2,11600
18542,3,6400
18542,4,5400
18542,5,12000
18543,2,2200
18543,6,1400
18544,1,7000
18544,2,11000
18544,3,20500
18544,4,6000
18544,5,6000
18544,6,13000
18546,4,5000
18546,6,6000
18548,1,500
18548,2,500
18548,3,500
18548,4,500
18548,5,500
18549,1,31200
18549,2,7600
18549,3,1300
18549,4,2800
18549,5,3400
18549,6,41700
18551,5,17500
18552,1,5000
18552,3,19500
18552,6,28000
18554,1,600
18554,4,1400
18555,1,15400
18555,2,800
18555,3,300
18555,4,800
18555,5,14100
18555,6,800
18557,5,16000
18558,5,8000
18559,6,2700
18560,1,2500
18560,3,2800
18560,4,1000
18560,5,2000
18560,6,1500
18561,1,5200
18561,2,1500
18561,3,29900
18561,5,2800
18561,6,3900
18563,1,12000
18563,2,11200
18563,3,71900
18563,4,44200
18563,5,8800
18563,6,45300
18564,2,147000
18564,6,1500
18565,1,28100
18565,2,27500
18565,3,9900
18565,4,9000
18565,5,14700
18566,5,20000
18566,6,3000
18567,1,55500
18567,2,15000
18569,5,5000
18569,6,500
18570,3,3600
18570,4,1200
18570,5,6000
18570,6,700
18571,1,2800
18571,2,6500
18571,3,9200
18571,4,3000
18571,5,10900
18571,6,3500
18572,2,6900
18572,3,22200
18572,4,17600
18572,5,52200
18572,6,46100
18573,1,11000
18573,2,15000
18573,3,15000
18573,5,5000
18573,6,3000
18575,1,5700
18575,3,900
18575,4,800
18575,5,900
18578,1,6300
18578,2,2500
18578,3,5300
18578,4,6200
18578,5,3900
18578,6,5000
18579,5,7000
18581,1,142200
18581,2,50400
18581,3,95500
18581,4,21300
18581,5,16800
18581,6,64400
18582,1,1900
18582,2,7800
18582,3,7900
18582,4,8400
18582,5,7200
18582,6,2200
18583,3,8400
18583,4,20000
18583,5,24400
18583,6,600
18584,1,6200
18584,2,3500
18584,3,2200
18584,4,2400
18584,5,6300
18584,6,6300
18586,1,12000
18586,3,5000
18586,5,4000
18587,1,4800
18587,2,1400
18587,3,4600
18587,4,1400
18587,5,4600
18587,6,8700
18588,1,3400
18588,2,2800
18588,3,5700
18588,4,4500
18588,5,2800
18588,6,900
18589,4,9100
18589,5,17300
18589,6,9700
18590,3,15500
18590,5,3700
18590,6,1800
18592,1,2400
18592,2,38200
18592,3,9300
18592,4,35200
18592,5,3300
18592,6,2400
18593,2,4000
18593,4,2000
18593,5,2000
18593,6,2000
18598,4,5700
18603,1,1400
18604,1,2700
18604,2,4200
18604,3,4400
18604,4,8100
18604,5,10500
18604,6,10300
18605,1,1150900
18605,2,133700
18605,3,25000
18605,4,2155400
18605,5,307700
18605,6,13100
18606,1,26500
18606,2,7000
18606,3,7300
18606,4,6800
18606,5,19600
18606,6,17800
18607,2,3900
18607,3,10100
18607,4,500
18607,5,2300
18607,6,3600
18608,1,2000
18608,4,10000
18608,6,3000
18615,1,2900
18615,2,3300
18615,3,2700
18615,5,2700
18615,6,2600
18616,3,4700
18616,5,2000
18616,6,1000
18617,1,2000
18617,2,1000
18617,5,3500
18617,6,2000
18618,1,13400
18618,2,25000
18618,3,8700
18618,4,53700
18618,5,13900
18618,6,5900
18619,1,1400
18619,2,700
18619,3,1700
18619,4,1400
18619,5,2900
18619,6,900
18620,1,4000
18620,2,1900
18620,3,700
18620,4,2400
18620,5,1000
